C_num,UB,User_gender,Text
1,1,0,"Hey, Hi"
1,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
1,1,0,"Hey, student living"
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
1,0,0,Was this helpful?
1,1,0,"Hey, helpful"
1,0,0,"Thanks,  carry on!"
1,1,0,"Hey, How to find an apartment"
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
1,0,0,Was this helpful?
1,1,0,"Hey, helpful"
1,0,0,"Thanks,  carry on!"
1,1,0,"Hey, whats the price"
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
1,0,0,Was this helpful?
1,1,0,"Hey, helpful"
1,0,0,"Thanks,  carry on!"
1,1,0,"Hey, Bye"
1,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.
1,1,0,"Hey, Yes"
1,0,0,Are you satisfied with the answers to your questions?
1,1,0,"Hey, satisfy"
1,0,0,Are you satisfied with how the chatbot interacted with you?
1,1,0,"Hey, interaction"
1,0,0,To what extent will you prefer the chatbot over Google search for the answers?
1,1,0,"Hey, preference"
1,0,0,Will you choose the chatbot to find UofSC info for the future use?
1,1,0,"Hey, future"
1,0,0,What's your overall satisfaction of using the chatbot to find the school information?
1,1,0,"Hey, overall"
1,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information."
1,0,0,Are you currently a student studying less than 2 years at UofSC?
1,1,0,"Hey, answer"
1,0,0,What's your gender?
1,1,0,"Hey, gender"
1,0,0,What's your age?
1,1,0,"Hey, age"
1,0,0,Are you married?
1,1,0,"Hey, marriage"
1,0,0,What is your current completed education level?
1,1,0,"Hey, education"
1,0,0,Thanks for your participation and feedbacks. This is all about the experiment.
2,1,0,"Hey, Hi"
2,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
2,1,0,"Hey, When is the deadline to apply for Ph.D. for the spring semester?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
2,0,0,Was this helpful?
2,1,0,"Hey, helpful"
2,0,0,"Thanks,  carry on!"
2,1,0,"Hey, Where can I find the courses that I would need to take as a Ph.D. student in computer science and enginreering?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
2,0,0,Was this helpful?
2,1,0,"Hey, helpful"
2,0,0,"Thanks,  carry on!"
2,1,0,"Hey, When will be the spring break this year?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
2,0,0,Was this helpful?
2,1,0,"Hey, helpful"
2,0,0,"Thanks,  carry on!"
2,1,0,"Hey, Is there some services to help me (a student) find a place to live in Columbia?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
2,0,0,Was this helpful?
2,1,0,"Hey, helpful"
2,0,0,"Thanks,  carry on!"
2,1,0,"Hey, How many credits does a Master student needs to take per semester?"
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
2,0,0,Was this helpful?
2,1,0,"Hey, helpful"
2,0,0,"Thanks,  carry on!"
2,1,0,"Hey, bye"
2,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.
2,1,0,"Hey, Yes"
2,0,0,Are you satisfied with the answers to your questions?
2,1,0,"Hey, satisfy"
2,0,0,Are you satisfied with how the chatbot interacted with you?
2,1,0,"Hey, interaction"
2,0,0,To what extent will you prefer the chatbot over Google search for the answers?
2,1,0,"Hey, preference"
2,0,0,Will you choose the chatbot to find UofSC info for the future use?
2,1,0,"Hey, future"
2,0,0,What's your overall satisfaction of using the chatbot to find the school information?
2,1,0,"Hey, overall"
2,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information."
2,0,0,Are you currently a student studying less than 2 years at UofSC?
2,1,0,"Hey, answer"
2,0,0,What's your gender?
2,1,0,"Hey, gender"
2,0,0,What's your age?
2,1,0,"Hey, age"
2,0,0,Are you married?
2,1,0,"Hey, marriage"
2,0,0,What is your current completed education level?
2,1,0,"Hey, education"
2,0,0,Thanks for your participation and feedbacks. This is all about the experiment.
3,1,0,"Hey, Hi"
3,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
3,1,0,"Hey, student living"
3,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
3,0,0,Was this helpful?
3,1,0,"Hey, helpful"
3,0,0,"Thanks,  carry on!"
3,1,0,"Hey, How to find an apartment"
3,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
3,0,0,Was this helpful?
3,1,0,"Hey, helpful"
3,0,0,"Thanks,  carry on!"
3,1,0,"Hey, whats the price"
3,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
3,0,0,Was this helpful?
3,1,0,"Hey, helpful"
3,0,0,"Thanks,  carry on!"
3,1,0,"Hey, Bye"
3,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.
3,1,0,"Hey, Yes"
3,0,0,Are you satisfied with the answers to your questions?
3,1,0,"Hey, satisfy"
3,0,0,Are you satisfied with how the chatbot interacted with you?
3,1,0,"Hey, interaction"
3,0,0,To what extent will you prefer the chatbot over Google search for the answers?
3,1,0,"Hey, preference"
3,0,0,Will you choose the chatbot to find UofSC info for the future use?
3,1,0,"Hey, future"
3,0,0,What's your overall satisfaction of using the chatbot to find the school information?
3,1,0,"Hey, overall"
3,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information."
3,0,0,Are you currently a student studying less than 2 years at UofSC?
3,1,0,"Hey, answer"
3,0,0,What's your gender?
3,1,0,"Hey, gender"
3,0,0,What's your age?
3,1,0,"Hey, age"
3,0,0,Are you married?
3,1,0,"Hey, marriage"
3,0,0,What is your current completed education level?
3,1,0,"Hey, education"
3,0,0,Thanks for your participation and feedbacks. This is all about the experiment.
4,1,0,"Hey, Hi"
4,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
4,1,0,"Hey, When is the deadline to apply for Ph.D. for the spring semester?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
4,0,0,Was this helpful?
4,1,0,"Hey, helpful"
4,0,0,"Thanks,  carry on!"
4,1,0,"Hey, Where can I find the courses that I would need to take as a Ph.D. student in computer science and enginreering?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
4,0,0,Was this helpful?
4,1,0,"Hey, helpful"
4,0,0,"Thanks,  carry on!"
4,1,0,"Hey, When will be the spring break this year?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
4,0,0,Was this helpful?
4,1,0,"Hey, helpful"
4,0,0,"Thanks,  carry on!"
4,1,0,"Hey, Is there some services to help me (a student) find a place to live in Columbia?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
4,0,0,Was this helpful?
4,1,0,"Hey, helpful"
4,0,0,"Thanks,  carry on!"
4,1,0,"Hey, How many credits does a Master student needs to take per semester?"
4,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
4,0,0,Was this helpful?
4,1,0,"Hey, helpful"
4,0,0,"Thanks,  carry on!"
4,1,0,"Hey, bye"
4,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.
4,1,0,"Hey, Yes"
4,0,0,Are you satisfied with the answers to your questions?
4,1,0,"Hey, satisfy"
4,0,0,Are you satisfied with how the chatbot interacted with you?
4,1,0,"Hey, interaction"
4,0,0,To what extent will you prefer the chatbot over Google search for the answers?
4,1,0,"Hey, preference"
4,0,0,Will you choose the chatbot to find UofSC info for the future use?
4,1,0,"Hey, future"
4,0,0,What's your overall satisfaction of using the chatbot to find the school information?
4,1,0,"Hey, overall"
4,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information."
4,0,0,Are you currently a student studying less than 2 years at UofSC?
4,1,0,"Hey, answer"
4,0,0,What's your gender?
4,1,0,"Hey, gender"
4,0,0,What's your age?
4,1,0,"Hey, age"
4,0,0,Are you married?
4,1,0,"Hey, marriage"
4,0,0,What is your current completed education level?
4,1,0,"Hey, education"
4,0,0,Thanks for your participation and feedbacks. This is all about the experiment.
5,1,0,"Hey, Hi"
5,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
5,1,0,"Hey, I want to find temporary stay near campus"
5,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
5,0,0,Was this helpful?
5,1,0,"Hey, Need apartment"
5,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
5,0,0,Was this helpful?
5,1,0,"Hey, How to find apartment?"
5,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
5,0,0,Was this helpful?
5,1,0,"Hey, helpful"
5,0,0,"Thanks,  carry on!"
5,1,0,"Hey, What's the application fee ?"
5,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing
5,0,0,Was this helpful?
5,1,0,"Hey, helpful"
5,0,0,"Thanks,  carry on!"
5,1,0,"Hey, End"
5,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.
5,1,0,"Hey, Yes"
5,0,0,Are you satisfied with the answers to your questions?
5,1,0,"Hey, satisfy"
5,0,0,Are you satisfied with how the chatbot interacted with you?
5,1,0,"Hey, interaction"
5,0,0,To what extent will you prefer the chatbot over Google search for the answers?
5,1,0,"Hey, preference"
5,0,0,Will you choose the chatbot to find UofSC info for the future use?
5,1,0,"Hey, future"
5,0,0,What's your overall satisfaction of using the chatbot to find the school information?
5,1,0,"Hey, overall"
5,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information."
5,0,0,Are you currently a student studying less than 2 years at UofSC?
5,1,0,"Hey, answer"
5,0,0,What's your gender?
5,1,0,"Hey, gender"
5,0,0,What's your age?
5,1,0,"Hey, age"
5,0,0,Are you married?
5,1,0,"Hey, marriage"
5,0,0,What is your current completed education level?
5,1,0,"Hey, education"
5,0,0,Thanks for your participation and feedbacks. This is all about the experiment.
6,1,0,"Hey, Hi"
6,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
6,1,0,"Hey, What's the applicationfee"
6,1,0,"Hey, What's the application fee"
6,1,0,"Hey, hi"
6,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
6,1,0,"Hey, How's the waether"
6,0,0,"Sorry,  I can't respond to this kind of question as I am a chatbot working for the school info request. Please ask a relevant question. "
6,1,0,"Hey, what's the application fee"
6,0,0,Please refer to the FAQ here for answer -  https://drive.google.com/file/d/1bjpTNPy11cH-OCCeXjdwwAhSilXm7Aj4/view?usp=sharing
6,0,0,Was this helpful?
6,1,0,"Hey, helpful"
6,0,0,"Thanks,  carry on!"
6,1,0,"Hey, Where I can stay in columbia"
6,1,0,"Hey, Bye"
6,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.
6,1,0,"Hey, Yes"
6,0,0,Are you satisfied with the answers to your questions?
6,1,0,"Hey, satisfy"
6,0,0,Are you satisfied with how the chatbot interacted with you?
6,1,0,"Hey, interaction"
6,0,0,To what extent will you prefer the chatbot over Google search for the answers?
6,1,0,"Hey, preference"
6,0,0,Will you choose the chatbot to find UofSC info for the future use?
6,1,0,"Hey, future"
6,0,0,What's your overall satisfaction of using the chatbot to find the school information?
6,1,0,"Hey, overall"
6,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information."
6,0,0,Are you currently a student studying less than 2 years at UofSC?
6,1,0,"Hey, answer"
6,0,0,What's your gender?
6,1,0,"Hey, gender"
6,0,0,What's your age?
6,1,0,"Hey, age"
6,0,0,Are you married?
6,1,0,"Hey, marriage"
6,0,0,What is your current completed education level?
6,1,0,"Hey, education"
6,0,0,Thanks for your participation and feedbacks. This is all about the experiment.
7,1,0,"Hey, Hi"
7,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?"
7,1,0,"Hey, Hello,  where I can submit application"
7,0,0,Please refer to the FAQ here for answer -  https://drive.google.com/file/d/1bjpTNPy11cH-OCCeXjdwwAhSilXm7Aj4/view?usp=sharing
7,0,0,Was this helpful?
7,1,0,"Hey, helpful"
7,0,0,"Thanks,  carry on!"
7,1,0,"Hey, How's the weather"
7,0,0,"Sorry,  I can't respond to this kind of question as I am a chatbot working for the school info request. Please ask a relevant question. "
