C_num,UB,User_gender,Text,Sentiment
1,1,0,hey hi,-1
1,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
1,1,0,hey student life,-1
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
1,1,0,"hey, useful",-1
1,0,0,"Thanks, keep going!",-1
1,1,0,"Hey, how to find an apartment?",-1
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
1,1,0,"hey, useful",-1
1,0,0,"Thanks, keep going!",-1
1,1,0,Hello. What's the price,-1
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
1,1,0,"hey, useful",-1
1,0,0,"Thanks, keep going!",-1
1,1,0,Hello Goodbye,-1
1,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-1
1,1,0,Hi Yes,-1
1,0,0,Are you satisfied with the answers to your questions?,-1
1,1,0,"Hey, satisfy",-1
1,0,0,Are you satisfied with the way the chatbot interacted with you?,-1
1,1,0,"hey, interaction",-1
1,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-1
1,1,0,hi preference,-1
1,0,0,Will you choose the chatbot to find UofSC information for future use?,-1
1,1,0,hello future,-1
1,0,0,What is your overall satisfaction from using the chatbot to find school information?,-1
1,1,0,"hello, generally",-1
1,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",-1
1,1,0,hear answers,-1
1,0,0,What is your gender?,-1
1,1,0,hey gender,-1
1,0,0,How old are you?,-1
1,1,0,hey age,-1
1,0,0,Is married?,-1
1,1,0,hello marriage,-1
1,0,0,What is your current completed education level?,-1
1,1,0,"hey, education",-1
1,0,0,Thank you for your participation and comments. This is all about the experiment.,-1
2,1,0,hey hi,-1
2,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
2,1,0,"Hey, when is the deadline to apply for PhD? for the spring semester?",-1
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
2,1,0,"hey, useful",-1
2,0,0,"Thanks, keep going!",-1
2,1,0,"Hey, where can I find the courses I would need to take as a PhD? computer science and engineering student",-1
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
2,1,0,"hey, useful",-1
2,0,0,"Thanks, keep going!",-1
2,1,0,"Hey, when is spring break this year?",-1
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
2,1,0,"hey, useful",-1
2,0,0,"Thanks, keep going!",-1
2,1,0,"Hey, is there a service to help me (a student) find a place to live in Columbia?",-1
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
2,1,0,"hey, useful",-1
2,0,0,"Thanks, keep going!",-1
2,1,0,"Hey, how many credits does a master's student need to take per semester?",-1
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
2,1,0,"hey, useful",-1
2,0,0,"Thanks, keep going!",-1
2,1,0,Hello Goodbye,-1
2,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-1
2,1,0,Hi Yes,-1
2,0,0,Are you satisfied with the answers to your questions?,-1
2,1,0,"Hey, satisfy",-1
2,0,0,Are you satisfied with the way the chatbot interacted with you?,-1
2,1,0,"hey, interaction",-1
2,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-1
2,1,0,hi preference,-1
2,0,0,Will you choose the chatbot to find UofSC information for future use?,-1
2,1,0,hello future,-1
2,0,0,What is your overall satisfaction from using the chatbot to find school information?,-1
2,1,0,"hello, generally",-1
2,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",-1
2,1,0,hear answers,-1
2,0,0,What is your gender?,-1
2,1,0,hey gender,-1
2,0,0,How old are you?,-1
2,1,0,hey age,-1
2,0,0,Is married?,-1
2,1,0,hello marriage,-1
2,0,0,What is your current completed education level?,-1
2,1,0,"hey, education",-1
2,0,0,Thank you for your participation and comments. This is all about the experiment.,-1
3,1,0,hey hi,-1
3,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
3,1,0,hey student life,-1
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
3,1,0,"hey, useful",-1
3,0,0,"Thanks, keep going!",-1
3,1,0,"Hey, how to find an apartment?",-1
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
3,1,0,"hey, useful",-1
3,0,0,"Thanks, keep going!",-1
3,1,0,Hello. What's the price,-1
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
3,1,0,"hey, useful",-1
3,0,0,"Thanks, keep going!",-1
3,1,0,Hello Goodbye,-1
3,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-1
3,1,0,Hi Yes,-1
3,0,0,Are you satisfied with the answers to your questions?,-1
3,1,0,"Hey, satisfy",-1
3,0,0,Are you satisfied with the way the chatbot interacted with you?,-1
3,1,0,"hey, interaction",-1
3,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-1
3,1,0,hi preference,-1
3,0,0,Will you choose the chatbot to find UofSC information for future use?,-1
3,1,0,hello future,-1
3,0,0,What is your overall satisfaction from using the chatbot to find school information?,-1
3,1,0,"hello, generally",-1
3,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",-1
3,1,0,hear answers,-1
3,0,0,What is your gender?,-1
3,1,0,hey gender,-1
3,0,0,How old are you?,-1
3,1,0,hey age,-1
3,0,0,Is married?,-1
3,1,0,hello marriage,-1
3,0,0,What is your current completed education level?,-1
3,1,0,"hey, education",-1
3,0,0,Thank you for your participation and comments. This is all about the experiment.,-1
4,1,0,hey hi,-1
4,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
4,1,0,"Hey, when is the deadline to apply for PhD? for the spring semester?",-1
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
4,1,0,"hey, useful",-1
4,0,0,"Thanks, keep going!",-1
4,1,0,"Hey, where can I find the courses I would need to take as a PhD? computer science and engineering student",-1
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
4,1,0,"hey, useful",-1
4,0,0,"Thanks, keep going!",-1
4,1,0,"Hey, when is spring break this year?",-1
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
4,1,0,"hey, useful",-1
4,0,0,"Thanks, keep going!",-1
4,1,0,"Hey, is there a service to help me (a student) find a place to live in Columbia?",-1
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
4,1,0,"hey, useful",-1
4,0,0,"Thanks, keep going!",-1
4,1,0,"Hey, how many credits does a master's student need to take per semester?",-1
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
4,1,0,"hey, useful",-1
4,0,0,"Thanks, keep going!",-1
4,1,0,Hello Goodbye,-1
4,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-1
4,1,0,Hi Yes,-1
4,0,0,Are you satisfied with the answers to your questions?,-1
4,1,0,"Hey, satisfy",-1
4,0,0,Are you satisfied with the way the chatbot interacted with you?,-1
4,1,0,"hey, interaction",-1
4,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-1
4,1,0,hi preference,-1
4,0,0,Will you choose the chatbot to find UofSC information for future use?,-1
4,1,0,hello future,-1
4,0,0,What is your overall satisfaction from using the chatbot to find school information?,-1
4,1,0,"hello, generally",-1
4,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",-1
4,1,0,hear answers,-1
4,0,0,What is your gender?,-1
4,1,0,hey gender,-1
4,0,0,How old are you?,-1
4,1,0,hey age,-1
4,0,0,Is married?,-1
4,1,0,hello marriage,-1
4,0,0,What is your current completed education level?,-1
4,1,0,"hey, education",-1
4,0,0,Thank you for your participation and comments. This is all about the experiment.,-1
5,1,0,hey hi,-1
5,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
5,1,0,"Hey, I want to find a temporary stay near campus.",-1
5,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
5,1,0,"Hey, I need an apartment",-1
5,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
5,1,0,"Hey, how to find an apartment?",-1
5,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
5,1,0,"hey, useful",-1
5,0,0,"Thanks, keep going!",-1
5,1,0,"Hey, what is the application fee?",-1
5,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-1
5,1,0,"hey, useful",-1
5,0,0,"Thanks, keep going!",-1
5,1,0,"hello, end",-1
5,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-1
5,1,0,Hi Yes,-1
5,0,0,Are you satisfied with the answers to your questions?,-1
5,1,0,"Hey, satisfy",-1
5,0,0,Are you satisfied with the way the chatbot interacted with you?,-1
5,1,0,"hey, interaction",-1
5,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-1
5,1,0,hi preference,-1
5,0,0,Will you choose the chatbot to find UofSC information for future use?,-1
5,1,0,hello future,-1
5,0,0,What is your overall satisfaction from using the chatbot to find school information?,-1
5,1,0,"hello, generally",-1
5,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",-1
5,1,0,hear answers,-1
5,0,0,What is your gender?,-1
5,1,0,hey gender,-1
5,0,0,How old are you?,-1
5,1,0,hey age,-1
5,0,0,Is married?,-1
5,1,0,hello marriage,-1
5,0,0,What is your current completed education level?,-1
5,1,0,"hey, education",-1
5,0,0,Thank you for your participation and comments. This is all about the experiment.,-1
6,1,0,hey hi,-1
6,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
6,1,0,"Hey, what is the application fee? Hey, what is the application fee? Hey, hello",-1
6,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
6,1,0,"Hey, how's the weather?",-1
6,0,0,Sorry I can't answer this type of question because I am a chatbot working for the school information request. Please ask a relevant question.,-1
6,1,0,"Hey, what is the application fee?",-1
6,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1bjpTNPy11cH-OCCeXjdwwAhSilXm7Aj4/view?usp=sharing Helpful?,-1
6,1,0,"hey, useful",-1
6,0,0,"Thanks, keep going!",-1
6,1,0,"Hey, where can I stay in Colombia? hey bye",-1
6,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-1
6,1,0,Hi Yes,-1
6,0,0,Are you satisfied with the answers to your questions?,-1
6,1,0,"Hey, satisfy",-1
6,0,0,Are you satisfied with the way the chatbot interacted with you?,-1
6,1,0,"hey, interaction",-1
6,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-1
6,1,0,hi preference,-1
6,0,0,Will you choose the chatbot to find UofSC information for future use?,-1
6,1,0,hello future,-1
6,0,0,What is your overall satisfaction from using the chatbot to find school information?,-1
6,1,0,"hello, generally",-1
6,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",-1
6,1,0,hear answers,-1
6,0,0,What is your gender?,-1
6,1,0,hey gender,-1
6,0,0,How old are you?,-1
6,1,0,hey age,-1
6,0,0,Is married?,-1
6,1,0,hello marriage,-1
6,0,0,What is your current completed education level?,-1
6,1,0,"hey, education",-1
6,0,0,Thank you for your participation and comments. This is all about the experiment.,-1
7,1,0,hey hi,-1
7,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-1
7,1,0,"Hey hi, where can I apply?",-1
7,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1bjpTNPy11cH-OCCeXjdwwAhSilXm7Aj4/view?usp=sharing Helpful?,-1
7,1,0,"hey, useful",-1
7,0,0,"Thanks, keep going!",-1
7,1,0,"Hey, how's the weather?",-1
7,0,0,Sorry I can't answer this type of question because I am a chatbot working for the school information request. Please ask a relevant question.,-1
